,grain screened,paper type,ink type,type on cylinder,press type,press,unit number,paper mill location,proof cut,viscosity,caliper,ink temperature,humifity,roughness,blade pressure,varnish pct,press speed,ink pct,solvent pct,wax,hardener,roller durometer,current density,anode space ratio,band type,speedBand,cutBand
0,0,1,1,yes,1,4,2.0,2,55.0,46.0,0.2,17.0,78.0,0.75,20.0,13.1,1700.0,50.5,36.4,2.5,1.0,34.0,40.0,105.0,1,1,1
1,0,1,1,yes,1,4,2.0,2,55.0,46.0,0.3,15.0,80.0,0.75,20.0,6.6,1900.0,54.9,38.5,2.5,0.7,34.0,40.0,105.0,0,2,1
2,0,1,0,yes,3,2,9.0,2,62.0,40.0,0.433,16.0,80.0,0.7243334970530452,30.0,6.5,1850.0,53.8,39.8,2.8,0.9,40.0,40.0,103.87,0,2,2
3,0,1,1,yes,3,3,9.0,2,52.0,40.0,0.3,16.0,75.0,0.3125,30.0,5.6,1467.0,55.6,38.8,2.5,1.3,40.0,40.0,108.06,0,0,1
4,1,1,0,yes,3,3,2.0,2,50.0,46.0,0.3,17.0,80.0,0.75,30.0,10.3239852398524,2100.0,57.5,42.5,2.3,0.6,35.0,40.0,106.67,0,3,1
5,0,1,1,yes,3,3,2.0,2,50.0,40.0,0.267,16.8,76.0,0.4375,28.0,8.6,1467.0,53.8,37.6,2.5,0.8,40.0,40.0,103.87,0,0,1
6,1,0,0,yes,1,6,2.0,1,50.0,46.0,0.3,16.5,75.0,0.75,30.0,10.3239852398524,2600.0,62.5,37.5,2.5,0.6,30.0,40.0,106.67,0,3,1
7,1,0,0,yes,1,6,9.0,1,50.0,46.0,0.2,16.5,75.0,0.75,28.0,10.3239852398524,2600.0,62.5,37.5,2.5,1.1,30.0,40.0,106.67,0,3,1
8,0,1,1,yes,2,0,7.0,2,50.0,45.0,0.367,12.0,70.0,0.75,60.0,10.3239852398524,1650.0,60.2,39.8,3.0,1.0,40.0,40.0,103.22,1,1,1
9,0,1,1,yes,3,2,2.0,2,65.0,43.0,0.333,16.0,75.0,1.0,32.0,22.7,1750.0,45.5,31.8,3.0,1.0,38.0,40.0,106.66,0,1,2
10,0,1,1,yes,3,2,9.0,2,65.0,43.0,0.2,16.0,68.0,0.75,30.0,15.5,1750.0,48.5,35.9,3.0,1.0,38.0,40.0,106.6,0,1,2
11,0,1,1,yes,1,4,2.0,2,50.0,50.0,0.367,14.0,80.0,0.75,40.0,10.5,1700.0,52.6,36.8,2.5,1.0,38.0,40.0,105.0,1,1,1
12,0,1,1,yes,1,4,7.0,2,50.0,50.0,0.3,15.0,70.0,1.0,30.0,10.0,1600.0,50.0,40.0,2.8,1.0,38.0,40.0,106.66,1,0,1
13,0,1,1,yes,1,4,7.0,2,40.0,45.0,0.3,14.5,70.0,0.625,25.0,10.3239852398524,1500.0,59.5,40.5,2.0,1.0,40.0,40.0,100.0,1,0,0
14,0,1,1,yes,1,4,2.0,2,50.0,43.0,0.267,16.0,75.0,1.0,20.0,15.8,1600.0,49.5,34.7,2.5,1.0,38.0,40.0,103.22,0,0,1
15,1,0,0,no,0,1,9.0,2,45.0360824742268,45.0,0.233,15.0,87.0,1.0,30.907563025210084,10.3239852398524,1400.0,62.5,37.5,2.5,1.0,40.0,40.0,103.22,1,0,1
16,1,0,0,no,0,1,5.0,1,30.0,45.0,0.2,14.0,65.0,0.7243334970530452,30.907563025210084,10.3239852398524,1600.0,62.5,37.5,2.5,0.8,33.0,40.0,100.0,0,0,0
17,1,0,0,no,0,1,1.0,1,30.0,45.0,0.2,15.5,65.0,0.7243334970530452,30.907563025210084,5.9,1600.0,58.8,35.3,2.5,1.8,33.0,40.0,100.0,0,0,0
18,0,1,1,yes,0,1,5.0,1,60.0,38.0,0.267,16.4,64.0,0.75,30.907563025210084,11.0,1400.0,54.9,34.1,2.5,1.0,32.0,40.0,103.22,0,0,2
19,0,1,1,yes,0,1,1.0,1,60.0,38.0,0.333,16.5,66.0,0.75,30.907563025210084,6.7,1400.0,56.2,37.1,1.1,1.4,32.0,40.0,103.22,0,0,2
20,1,0,0,no,1,5,2.0,1,50.0,45.0,0.233,16.0,70.0,0.8125,30.0,10.3239852398524,2400.0,58.8,41.2,1.7,1.0,30.0,40.0,107.4,0,3,1
21,1,0,0,yes,1,5,9.0,1,40.0,45.0,0.2,15.0,76.0,0.8125,30.0,10.3239852398524,2400.0,62.5,37.5,1.0,1.0,30.0,40.0,107.4,0,3,0
22,1,0,0,yes,1,5,2.0,1,30.0,43.0,0.2,16.3,70.0,0.8125,25.0,1.2,2200.0,58.1,40.7,2.0,1.0,30.0,40.0,96.875,0,3,0
23,1,0,0,yes,1,6,2.0,1,40.0,41.0,0.2,15.8,72.0,1.0,30.0,10.3239852398524,2000.0,62.5,37.5,2.5,1.0,30.0,40.0,107.4,1,2,0
24,1,0,0,yes,1,6,9.0,0,40.0,42.0,0.2,14.5,74.0,1.0,25.0,8.0,2100.0,57.5,34.5,2.3,0.7,35.0,40.0,107.4,1,3,0
25,1,0,0,yes,1,6,9.0,0,45.0,42.0,0.2,14.0,70.0,1.0,20.0,8.0,1850.0,57.5,34.5,2.0,0.7,35.0,40.0,107.4,1,2,0
26,1,1,0,yes,1,6,9.0,0,50.0,45.0,0.3,15.0,76.0,1.0,30.0,8.0,2150.0,57.5,34.5,2.5,1.0,35.0,40.0,107.4,0,3,1
27,1,1,0,yes,1,6,2.0,0,50.0,45.0,0.3,15.2,72.0,1.0,25.0,5.9,2150.0,58.8,35.3,2.5,1.0,35.0,40.0,107.4,0,3,1
28,1,0,0,no,1,7,2.0,1,35.0,42.0,0.27585742187499995,15.0,75.0,0.75,30.0,10.3239852398524,2100.0,58.8,41.2,2.0,0.8,30.0,40.0,107.4,1,3,0
29,1,0,0,no,1,7,2.0,1,30.0,45.0,0.233,17.0,70.0,0.75,35.0,10.3239852398524,2200.0,58.8,41.2,2.5,1.0,33.0,40.0,106.45,1,3,0
30,1,1,0,yes,3,2,2.0,2,37.5,44.0,0.2,16.0,90.0,0.75,28.0,20.0,2050.0,45.0,35.0,2.4,0.8,35.0,40.0,107.4,0,3,0
31,1,1,0,yes,3,2,9.0,2,37.5,44.0,0.2,16.5,91.0,0.75,30.0,21.7,2050.0,43.5,34.8,2.7,0.8,35.0,40.0,107.4,0,3,0
32,0,1,1,yes,1,4,2.0,2,45.0,44.0,0.267,14.1,78.0,0.625,22.0,7.6,1510.0,54.3,38.0,2.5,0.7,34.0,40.0,114.28,0,0,0
33,0,1,1,yes,1,4,7.0,2,40.0,44.0,0.2,14.0,69.0,0.625,20.0,8.5,1510.0,53.2,38.3,2.5,0.9,34.0,40.0,110.0,0,0,0
34,1,0,0,no,1,7,2.0,2,40.0,47.0,0.333,17.0,78.0,0.75,35.0,10.3239852398524,2400.0,58.8,41.2,2.5,1.0,30.0,40.0,100.0,1,3,0
35,1,0,0,yes,0,1,1.0,2,30.0,42.0,0.2,15.4,64.0,0.875,30.907563025210084,10.3239852398524,1425.0,63.0,37.0,1.0,1.3,34.0,40.0,107.4,0,0,0
36,1,0,0,yes,3,2,2.0,1,45.0,38.0,0.27585742187499995,15.0,80.0,0.625,30.0,7.0,1600.0,58.1,34.9,2.5,1.5,30.0,40.0,103.22,1,0,0
37,0,1,1,yes,3,3,2.0,2,40.0,43.0,0.267,16.0,96.0,1.0,28.0,10.3239852398524,1500.0,58.8,41.2,3.0,0.8,40.0,40.0,103.12,0,0,0
38,0,1,1,yes,3,3,9.0,2,32.5,43.0,0.2,15.0,82.0,1.0,31.0,7.6,1500.0,54.3,38.0,2.5,1.0,40.0,40.0,103.12,0,0,0
39,1,1,0,yes,3,2,9.0,2,37.5,44.0,0.3,15.0,85.0,0.75,34.0,10.3239852398524,1400.0,62.5,37.5,2.8,1.0,28.0,40.0,103.12,0,0,0
40,1,1,0,yes,3,2,2.0,2,35.0,44.0,0.3,16.0,80.0,1.0,32.0,7.0,1400.0,58.1,34.9,3.0,1.0,28.0,40.0,103.12,0,0,0
41,1,0,0,yes,0,1,1.0,2,30.0,42.0,0.2,15.4,64.0,0.875,30.907563025210084,10.3239852398524,1425.0,61.7,38.3,1.0,1.3,34.0,40.0,107.4,0,0,0
42,1,0,0,yes,1,5,9.0,1,50.0,43.0,0.2,16.0,82.0,0.875,30.0,10.3239852398524,2270.0,55.6,44.4,2.0,1.0,30.0,40.0,103.22,0,3,1
43,1,0,0,yes,1,5,2.0,1,50.0,43.0,0.3,16.3,80.0,0.8125,30.0,10.3239852398524,2270.0,55.6,44.4,1.5,1.5,30.0,40.0,103.22,0,3,1
44,1,1,0,yes,1,6,2.0,2,60.0,43.0,0.267,15.8,57.0,0.75,24.0,1.2,1480.0,58.1,40.7,1.4,1.7,33.0,40.0,103.12,0,0,2
45,1,1,0,yes,1,6,9.0,2,52.5,43.0,0.233,16.6,58.0,0.75,20.0,7.9,1480.0,56.2,36.0,1.7,0.7,33.0,40.0,103.12,0,0,1
46,1,0,0,yes,1,5,2.0,2,50.0,43.0,0.3,17.0,87.0,0.8125,35.0,10.3239852398524,2300.0,58.8,41.2,1.3,0.7,30.0,40.0,103.22,0,3,1
47,1,0,0,yes,1,4,2.0,1,25.0,38.0,0.2,13.0,75.0,0.625,25.0,10.3239852398524,1600.0,57.5,42.5,2.5,0.85,30.0,40.0,103.12,0,0,0
48,1,0,0,yes,1,4,7.0,1,25.0,38.0,0.233,14.0,70.0,0.625,25.0,10.3239852398524,1600.0,58.8,41.2,1.7,0.9,30.0,40.0,103.12,0,0,0
49,1,1,1,yes,3,3,9.0,0,40.0,46.0,0.333,15.9,78.0,0.5,34.0,2.4,2000.0,61.0,36.6,2.4,1.3,35.0,40.0,103.22,0,2,0
50,0,1,1,yes,1,6,2.0,2,45.0,41.0,0.333,17.0,78.0,0.75,16.0,14.1,1100.0,50.5,35.4,2.5,1.0,50.0,40.0,96.97,1,0,0
51,0,1,1,yes,1,6,2.0,2,47.5,41.0,0.233,16.5,72.0,0.75,20.0,14.1,1300.0,50.5,35.4,2.5,1.0,50.0,40.0,96.97,1,0,1
52,1,0,0,no,1,5,2.0,1,40.0,46.0,0.2,15.0,68.0,0.75,28.0,10.3239852398524,1700.0,58.8,41.2,1.0,1.0,33.0,40.0,103.22,0,1,0
53,1,0,0,no,1,5,9.0,1,40.0,46.0,0.267,16.5,68.0,0.875,25.0,10.3239852398524,1700.0,58.8,41.2,1.0,1.0,33.0,40.0,103.125,0,1,0
54,1,0,0,yes,3,2,9.0,1,40.0,35.0,0.233,18.0,85.0,0.625,30.0,10.3239852398524,2000.0,62.5,37.5,2.5,0.9,30.0,40.0,103.125,0,2,0
55,1,0,0,yes,1,5,9.0,1,50.0,43.0,0.2,17.0,84.0,0.7243334970530452,35.0,10.3239852398524,2300.0,55.6,44.4,2.0,0.8,30.0,40.0,103.22,0,3,1
56,1,1,0,yes,2,0,7.0,2,35.0,38.0,0.4,12.0,62.0,0.75,46.0,4.7,1400.0,58.8,36.5,2.0,1.0,28.0,40.0,103.125,0,0,0
57,1,1,0,yes,2,0,2.0,2,35.0,38.0,0.433,16.0,70.0,0.75,50.0,10.3239852398524,1400.0,62.5,37.5,2.8,1.5,28.0,40.0,103.125,0,0,0
58,0,1,1,yes,1,4,7.0,2,50.0,46.0,0.2,14.6,60.0,0.625,25.0,10.5,1750.0,52.6,36.8,2.4,0.8,28.0,40.0,96.97,1,1,1
59,0,1,1,yes,1,6,2.0,4,40.0,47.0,0.333,24.5,78.0,0.875,30.0,8.8,2100.0,54.9,36.3,2.3,1.0,40.0,40.0,100.0,1,3,0
60,0,1,1,no,1,6,9.0,4,40.0,47.0,0.35,14.43,76.0,0.75,16.0,7.2,2000.0,51.5,41.2,2.7,1.4,40.0,40.0,100.0,1,2,0
61,0,1,1,yes,1,6,2.0,4,40.0,39.0,0.233,15.0,77.0,0.75,20.0,9.4,2000.0,52.1,38.5,2.5,1.0,40.0,40.0,103.22,0,2,0
62,0,1,1,yes,1,6,9.0,4,40.0,39.0,0.2,15.0,79.0,0.75,20.0,11.8,2000.0,49.0,39.2,2.5,1.0,40.0,40.0,103.22,0,2,0
63,1,1,1,yes,1,6,2.0,4,45.0360824742268,43.0,0.267,14.2,68.0,0.75,18.0,10.3239852398524,2000.0,62.5,37.5,2.5,1.2,40.0,40.0,106.45,1,2,1
64,1,1,1,yes,1,6,2.0,4,45.0360824742268,48.0,0.233,14.0,80.0,0.75,30.0,10.3239852398524,2000.0,62.5,37.5,2.4375238095238094,1.0026717557251907,40.0,40.0,109.67,1,2,1
65,1,1,1,no,1,6,2.0,4,45.0360824742268,40.0,0.267,16.4,72.0,1.0,26.0,10.3239852398524,2000.0,62.5,37.5,2.5,1.0,40.0,40.0,106.45,1,2,1
66,0,1,1,yes,1,5,9.0,4,40.0,40.0,0.35,18.5,85.0,0.5625,30.0,10.3239852398524,1900.0,62.5,37.5,1.8,1.4,40.0,40.0,106.45,1,2,0
67,1,1,0,yes,1,4,7.0,2,42.5,41.0,0.3,14.0,70.0,0.625,20.0,2.3,1750.0,57.5,40.0,2.5,0.7,35.0,40.0,96.97,0,1,0
68,1,0,0,yes,1,7,9.0,1,35.0,39.0,0.2,16.2,84.0,1.0,30.0,10.3239852398524,2100.0,62.5,37.5,2.0,0.9,30.0,40.0,94.117,0,3,0
69,1,0,1,yes,0,1,9.0,2,35.0,45.0,0.3,14.1,65.0,1.0,30.907563025210084,10.3239852398524,1500.0,59.5,40.5,2.6,1.0,40.0,40.0,109.67,0,0,0
70,1,1,1,yes,2,0,2.0,2,50.0,43.0,0.333,14.02,68.0,0.75,56.0,7.4,1800.0,53.2,39.4,3.0,1.3,40.0,40.0,109.67,0,1,1
71,1,1,1,yes,3,3,2.0,2,67.5,45.0,0.2,15.5,80.0,0.5,34.0,16.3,1683.0,43.5,40.2,2.5,1.0,40.0,40.0,109.67,0,1,2
72,1,0,0,yes,1,4,2.0,1,55.0,37.0,0.267,16.0,75.0,0.625,20.0,5.6,1850.0,55.6,38.9,0.8,0.75,33.0,40.0,109.67,0,2,1
73,1,1,0,yes,1,4,2.0,2,42.5,41.0,0.2,14.0,80.0,0.625,20.0,7.4,1750.0,53.2,39.4,2.1,0.9,35.0,40.0,96.97,0,1,0
74,0,1,1,yes,0,1,1.0,2,52.5,45.0,0.2,15.3,72.0,0.75,30.907563025210084,12.4,1600.0,51.5,36.1,2.5,1.0,40.0,40.0,109.67,0,0,1
75,1,0,1,yes,0,1,10.0,2,35.0,45.0,0.2,15.2,63.0,1.0,30.907563025210084,10.3239852398524,1500.0,59.5,40.5,2.3,0.9,40.0,40.0,109.67,0,0,0
76,0,1,1,yes,0,1,5.0,2,52.5,45.0,0.233,16.0,68.0,0.75,30.907563025210084,10.3239852398524,1600.0,58.8,41.2,2.3,0.8,40.0,40.0,109.67,0,0,1
77,1,1,0,yes,3,3,9.0,2,49.0,43.0,0.35,14.5,74.0,0.75,23.0,9.1,1900.0,56.8,34.1,0.7,0.2,35.0,40.0,103.22,1,2,1
78,0,1,1,yes,0,1,5.0,2,52.5,37.0,0.233,14.0,73.0,0.75,30.907563025210084,9.6,1600.0,53.2,37.2,2.3,1.0,40.0,40.0,109.67,0,0,1
79,0,1,1,yes,0,1,9.0,2,52.5,43.0,0.267,15.1,76.0,0.5,31.0,6.6,1650.0,54.9,38.5,2.5,1.5,40.0,40.0,109.67,0,1,1
80,1,1,0,yes,1,7,9.0,0,40.0,44.0,0.2,16.1,78.0,0.9375,30.0,5.6,1800.0,55.6,38.9,2.0,1.0,35.0,40.0,103.22,0,1,0
81,0,1,1,yes,0,1,1.0,2,52.5,37.0,0.2,15.0,66.0,0.75,30.907563025210084,13.3,1600.0,55.6,42.2,2.4,0.8,40.0,40.0,100.0,0,0,1
82,1,1,0,yes,1,6,2.0,2,40.0,43.0,0.35,16.5,72.0,0.625,20.0,9.1,2000.0,56.8,34.1,2.5,0.5,35.0,40.0,103.22,0,2,0
83,1,1,0,yes,1,6,9.0,2,40.0,43.0,0.35,16.1,70.0,0.625,20.0,11.1,2000.0,55.6,33.3,1.8,0.9,35.0,40.0,103.22,0,2,0
84,1,0,0,yes,1,5,9.0,1,40.0,43.0,0.267,16.0,80.0,0.5625,30.0,5.6,1900.0,55.6,38.9,2.2,1.3,30.0,40.0,103.22,0,2,0
85,0,1,1,yes,1,4,7.0,2,45.0,45.0,0.27585742187499995,14.7,75.0,0.625,30.0,15.0,1734.0,50.0,35.0,1.5,0.6,34.0,40.0,103.22,1,1,0
86,1,1,0,yes,3,3,2.0,2,60.0,49.0,0.333,14.9,77.0,0.75,27.0,10.3239852398524,1650.0,58.8,41.2,2.5,0.7,33.0,40.0,103.33,0,1,2
87,0,1,1,no,1,4,7.0,2,55.0,49.0,0.267,12.5,70.0,0.625,30.0,5.6,1750.0,55.6,38.9,2.5,0.9,34.0,40.0,106.66,1,1,1
88,0,1,1,yes,1,4,2.0,2,45.0,45.0,0.27585742187499995,15.1,75.0,0.625,20.0,15.0,1750.0,50.0,35.0,1.6,0.9,34.0,40.0,103.22,0,1,0
89,1,1,0,yes,3,3,9.0,2,55.0,49.0,0.2,15.6,74.0,0.75,24.0,10.3239852398524,1650.0,58.8,41.2,2.5,1.7,33.0,40.0,103.33,0,1,1
90,1,0,0,yes,1,7,2.0,2,40.0,49.0,0.233,15.3,74.0,1.0,34.0,10.3239852398524,2000.0,62.5,37.5,2.2,1.0,35.0,40.0,100.0,0,2,0
91,1,0,0,yes,1,7,9.0,2,40.0,49.0,0.233,16.8,78.0,0.9375,30.0,10.3239852398524,2000.0,62.5,37.5,2.4,0.9,35.0,40.0,100.0,0,2,0
92,0,1,1,yes,1,4,7.0,2,42.5,46.0,0.3,14.0,77.0,0.625,42.0,15.8,1850.0,49.5,34.6,1.5,0.8,34.0,40.0,100.0,1,2,0
93,1,0,0,yes,1,7,1.0,1,35.0,44.0,0.2,15.5,100.0,0.875,30.0,10.3239852398524,2200.0,53.2,46.8,2.4375238095238094,1.0026717557251907,30.0,40.0,100.0,1,3,0
94,0,1,1,no,1,6,2.0,2,42.0,44.0,0.3,15.0,80.0,1.25,20.0,16.7,1300.0,49.0,34.3,2.5,0.2,40.0,40.0,110.0,0,0,0
95,0,1,1,no,1,6,9.0,2,45.0,44.0,0.3,15.5,75.0,1.25,20.0,14.1,1300.0,50.5,35.4,2.5,1.5,40.0,40.0,110.0,0,0,0
96,1,0,0,yes,1,5,2.0,1,50.0,43.0,0.3,16.0,70.0,0.8125,30.0,3.4,2400.0,56.8,39.8,2.5,0.8,30.0,40.0,103.125,0,3,1
97,1,0,0,yes,1,5,9.0,1,47.0,43.0,0.267,16.0,80.0,0.5625,30.0,9.1,2400.0,50.5,40.4,2.5,1.1,30.0,40.0,103.125,0,3,1
98,1,0,0,yes,1,5,2.0,1,35.0,48.0,0.233,16.0,76.0,0.8125,30.0,8.9,1900.0,49.5,41.6,2.5,1.2,30.0,40.0,103.22,0,2,0
99,1,0,0,yes,1,5,9.0,1,35.0,48.0,0.233,16.0,86.0,0.5625,30.0,16.1,1900.0,44.6,39.3,2.5,1.5,30.0,40.0,103.22,0,2,0
100,1,1,0,yes,1,6,2.0,1,35.0,43.0,0.233,14.0,75.0,1.25,20.0,7.6,1826.8125,54.3,38.0,2.5,2.0,33.0,40.0,106.66,0,2,0
101,1,1,0,yes,1,6,9.0,1,37.5,43.0,0.233,14.0,80.0,1.25,20.0,6.25,1826.8125,52.1,41.7,3.0,1.5,33.0,40.0,106.66,0,2,0
102,1,1,0,yes,0,1,1.0,2,40.0,44.0,0.2,15.0,68.0,0.75,30.907563025210084,10.3239852398524,1750.0,58.8,41.2,2.7,0.7,35.0,40.0,103.125,0,1,0
103,1,1,0,yes,0,1,5.0,2,40.0,44.0,0.233,15.5,68.0,0.75,30.907563025210084,5.6,1750.0,55.6,38.9,1.5,0.5,35.0,40.0,103.125,0,1,0
104,1,0,0,yes,1,6,2.0,1,47.5,68.0,0.4,14.0,78.0,0.75,22.0,10.3239852398524,1900.0,62.5,37.5,2.1,1.7,33.0,40.0,103.125,1,2,1
105,1,0,0,no,3,3,2.0,1,40.0,60.0,0.233,15.0,78.0,1.0,28.0,10.3239852398524,2380.0,60.0,40.0,2.5,1.0,30.0,40.0,106.66,1,3,0
106,0,0,0,no,0,1,9.0,2,55.0,55.0,0.3,16.3,100.0,1.0,30.907563025210084,10.3239852398524,1650.0,58.8,41.2,2.4375238095238094,1.0026717557251907,40.0,40.0,106.66,1,1,1
107,1,0,0,yes,3,2,2.0,1,40.0,55.0,0.433,15.5,92.0,0.75,22.0,9.6,1550.0,53.2,37.2,2.9,1.3,33.0,40.0,106.66,1,0,0
108,1,0,0,yes,3,2,2.0,1,40.0,52.0,0.27585742187499995,16.0,86.0,0.75,26.0,9.6,1975.0,53.2,37.2,2.9,1.3,33.0,40.0,100.0,1,2,0
109,0,1,2,yes,1,4,7.0,2,42.5,52.0,0.4,13.9,76.0,0.625,25.0,10.3239852398524,1800.0,50.0,50.0,2.5,0.9,40.0,40.0,106.66,1,1,0
110,0,1,1,yes,1,4,7.0,1,50.0,56.0,0.267,15.2,76.0,0.625,25.0,3.4,1760.0,56.8,39.8,2.5,0.8,34.0,40.0,103.125,1,1,1
111,0,1,1,yes,1,4,7.0,2,45.0,57.0,0.267,14.0,76.0,0.75,20.0,3.4,1800.0,56.2,40.4,2.0,0.8,34.0,40.0,103.125,1,1,0
112,1,0,0,no,1,5,2.0,1,47.0,67.0,0.4,16.0,74.0,0.8125,38.0,10.3239852398524,1900.0,58.8,41.2,2.5,1.1,33.0,40.0,103.125,0,2,1
113,1,0,0,yes,1,5,9.0,1,47.0,67.0,0.333,16.0,82.0,0.5625,30.0,1.5,1900.0,50.5,34.3,2.5,1.1,33.0,40.0,103.125,0,2,1
114,0,1,1,yes,0,1,5.0,2,50.0,52.0,0.3,17.0,69.0,0.75,30.907563025210084,10.3239852398524,1700.0,58.8,41.2,2.2,0.9,40.0,40.0,106.66,0,1,1
115,0,1,1,no,2,0,7.0,2,50.0,55.0,0.233,13.34,74.0,0.625,30.907563025210084,4.8,1635.0,59.5,35.7,3.0,2.0,40.0,40.0,100.0,0,1,1
116,0,1,1,no,2,0,2.0,2,50.0,55.0,0.233,13.86,70.0,0.625,47.0,10.2,1635.0,51.0,38.8,3.0,1.0,40.0,40.0,100.0,0,1,1
117,0,1,1,yes,0,1,1.0,2,50.0,52.0,0.267,15.6,71.0,0.75,30.907563025210084,20.6,1700.0,46.7,32.7,2.5,0.6,40.0,40.0,106.66,0,1,1
118,1,0,0,yes,3,2,2.0,1,30.0,63.0,0.3,13.0,94.0,1.0,29.0,10.3239852398524,1800.0,56.2,43.8,2.5,1.0,30.0,40.0,110.0,1,1,0
119,1,0,0,yes,3,2,2.0,1,50.0,60.0,0.267,13.6,86.0,1.125,28.0,10.3239852398524,1500.0,64.1,35.9,2.5,1.0,33.0,40.0,106.45,1,0,1
120,0,1,1,no,1,4,7.0,2,55.0,53.0,0.3,14.2,72.0,0.625,25.0,22.7,1750.0,45.5,31.8,2.4,0.9,34.0,40.0,103.125,1,1,1
121,1,0,0,no,3,2,2.0,1,35.0,56.0,0.3,15.3,80.0,0.75,20.0,10.3239852398524,1900.0,76.9,23.1,2.5,1.25,33.0,40.0,106.66,1,2,0
122,0,1,1,no,1,4,7.0,2,55.0,56.0,0.233,15.0,84.0,0.625,25.0,16.7,1850.0,52.1,31.3,2.0,0.6,34.0,40.0,103.125,1,2,1
123,0,1,1,no,1,4,7.0,2,55.0,49.0,0.2,15.0,78.0,0.625,20.0,17.1,1900.0,47.6,35.2,2.5,0.85,34.0,40.0,106.45,1,2,1
124,0,1,1,yes,2,0,2.0,2,50.0,50.0,0.2,15.7,90.0,0.75,50.0,10.3239852398524,1420.0,62.5,37.5,3.0,1.35,40.0,40.0,106.45,0,0,1
125,0,1,1,yes,2,0,7.0,2,50.0,50.0,0.2,15.5,74.0,0.75,58.0,4.8,1420.0,59.5,35.7,3.0,1.0,40.0,40.0,106.45,0,0,1
126,1,0,0,yes,1,5,9.0,1,35.0,56.0,0.233,16.0,82.0,0.5625,28.0,5.6,2100.0,56.2,38.2,1.7,0.4,30.0,40.0,103.125,0,3,0
127,1,0,0,yes,1,5,2.0,1,35.0,56.0,0.2,15.0,80.0,0.8125,40.0,8.6,2100.0,53.8,37.6,1.7,1.0,30.0,40.0,100.0,0,3,0
128,1,0,0,yes,1,5,2.0,1,40.0,50.0,0.2,16.0,68.0,0.8125,30.0,10.3239852398524,2400.0,58.8,41.2,2.5,1.5,33.0,40.0,103.125,0,3,0
129,1,0,0,yes,1,5,9.0,1,40.0,50.0,0.233,16.0,70.0,0.5625,30.0,10.3239852398524,2400.0,58.8,41.2,1.5,0.5,33.0,40.0,103.125,0,3,0
130,1,1,0,yes,1,6,2.0,2,45.0360824742268,59.0,0.233,14.2,80.0,1.0,20.0,5.6,1826.8125,55.6,38.9,2.0,2.5,33.0,40.0,106.45,0,2,1
131,1,1,0,yes,1,6,9.0,2,37.5,59.0,0.233,16.0,75.0,0.75,20.0,4.3,1826.8125,54.3,41.3,2.5,1.5,33.0,40.0,106.45,0,2,0
132,1,1,0,yes,3,3,9.0,2,40.0,54.0,0.2,15.8,76.0,0.5,38.0,5.6,1736.0,55.6,38.9,2.5,1.5,35.0,40.0,103.125,0,1,0
133,1,1,2,yes,3,3,2.0,2,40.0,54.0,0.2,15.4,78.0,0.5,34.0,5.7,1736.0,56.8,36.9,2.5,1.1,35.0,40.0,103.125,0,1,0
134,0,1,1,no,1,4,2.0,2,55.0,45.0,0.267,15.5,79.0,0.625,20.0,16.7,1850.0,54.3,34.3,2.5,1.0,34.0,40.0,100.0,0,2,1
135,0,1,1,no,1,4,7.0,2,52.0,64.0,0.4,15.5,82.0,0.625,30.0,10.3239852398524,1800.0,71.4,28.6,2.5,0.9,34.0,40.0,103.125,1,1,1
136,1,0,0,no,3,3,9.0,1,40.0,56.0,0.233,16.5,79.0,0.5,28.0,10.3239852398524,2300.0,60.2,39.8,2.5,1.5,30.0,40.0,106.45,1,3,0
137,1,0,0,yes,1,5,2.0,1,45.0,54.0,0.333,15.5,76.0,0.8125,30.0,5.6,2250.0,55.6,38.9,2.5,1.3,30.0,40.0,106.45,0,3,0
138,1,1,0,yes,1,7,2.0,0,47.5,68.0,0.4,16.0,80.0,0.75,30.0,10.3239852398524,2250.0,58.8,41.2,1.5,1.0,35.0,40.0,106.45,0,3,1
139,1,1,0,yes,1,7,9.0,0,47.5,68.0,0.35,16.0,80.0,0.75,30.0,10.3239852398524,2250.0,52.1,47.9,1.5,0.75,35.0,40.0,106.45,0,3,1
